"V1","V2","V3","V4","V5","V6","V7","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V6_1","V6_2","V6_3","V6_4","filter_."
"Bulgaria                                            ","BGR","Itsenäinen valtio",108560,"Ei","Ylempi keskitaso","Ei",7025037,64.71109985,75.008,9,15.5,6.2,55.32141636,NA,NA,NA,5.210999966,8331.058025,4.09250021,1.242051219,7.45326805,118.9396801,78.4,71.3,74.81463415,0.1,41708.458,19.14913234,0,0,1,0,"Selected"
"Bahrain                                             ","BHR","Itsenäinen valtio",778.0000305,"Ei","Korkea","Ei",1569439,2017.2737,89.287,14.365,2.368,6.2,27.68238859,5.05112,1.23683,2.53581,0.649999976,23709.43047,2.327810049,4.33877531,4.74813128,133.3409369,78.143,76.188,77.032,NA,31693.881,70.81620768,0,0,0,1,"Selected"
"Bahamas, The                                        ","BHS","Itsenäinen valtio",10010,"Ei","Korkea","Ei",385640,38.52547453,83.025,14.049,6.72,11.4,42.33357078,NA,NA,NA,10,31827.2427,NA,NA,6.83129883,100.7960854,75.718,71.3,73.554,NA,1785.829,17.36772049,0,0,0,1,"Selected"
"Bosnia and Herzegovina                              ","BIH","Itsenäinen valtio",51200,"Ei","Ylempi keskitaso","Ei",3323929,64.92048828,48.245,8.293,10.563,5.3,45.42609123,NA,NA,NA,18.39999962,5394.59122,NA,0.864182656,8.93159008,104.1256346,79.581,74.622,77.128,NA,21847.986,27.74766896,0,0,1,0,"Selected"
"Belarus                                             ","BLR","Itsenäinen valtio",202988.0078,"Ei","Ylempi keskitaso","Kyllä",9483499,46.71950379,78.595,10.8,12.6,2.7,46.43666372,0.274820000000005,0.206019999999995,0.243440000000007,4.760000229,5761.74712,4.794990063,1.156379967,5.75974846,122.925228,79.2,69.3,74.12926829,0.4,58279.631,18.76557991,0,0,1,0,"Selected"
"Belize                                              ","BLZ","Itsenäinen valtio",22810,"Ei","Ylempi keskitaso","Ei",383071,16.79399386,45.724,21.081,4.681,11.8,53.88456378,NA,NA,NA,6.512000084,4887.577208,7.509890079,1.232179757,5.70125389,64.29904639,77.453,71.533,74.365,NA,568.385,23.01189211,0,0,1,0,"Selected"
"Bermuda                                             ","BMU","Muu alue/territorio",54.00000095,NA,"Korkea",NA,63920,1183.703683,100,9.3,7.8,NA,NA,NA,NA,NA,NA,NA,1.500390053,NA,NA,NA,85.35,77.72,81.44195122,NA,612.389,11.64635919,0,0,0,1,"Not Selected"
"Bolivia                                             ","BOL","Itsenäinen valtio",1083300,"Ei","Alempi keskitaso","Kyllä",11353142,10.48014585,69.425,22.076,6.795,22.9,61.98396703,NA,NA,NA,3.53399992,3351.12404,NA,1.536277694,6.4901948,100.8164084,73.878,68.173,70.945,0.2,21605.964,21.5689866,0,1,0,0,"Selected"
"Brazil                                              ","BRA","Itsenäinen valtio",8358140,"Ei","Ylempi keskitaso","Ei",209469333,25.06171624,86.569,14.125,6.378,13.2,43.38337979,6.57492999999999,6.99096,6.77249999999999,12.33399963,9925.386238,6.32254982,1.419526638,9.46933746,98.8435013,79.156,71.804,75.456,0.5,462298.69,12.70662947,0,0,1,0,"Selected"
"Barbados                                            ","BRB","Itsenäinen valtio",430,"Ei","Korkea","Ei",286641,666.6069767,31.147,10.683,8.936,12.4,49.57888035,NA,NA,NA,9.385000229,17391.42587,4.366380215,NA,6.62216997,114.8914496,80.307,77.562,78.981,0.9,1276.116,23.0801758,0,0,0,1,"Selected"
"Brunei Darussalam                                   ","BRN","Itsenäinen valtio",5270,"Ei","Korkea","Ei",428962,81.39696395,77.629,15.376,4.345,9.2,38.69562828,3.69874,1.94638,2.78588999999999,8.862000465,28572.14678,NA,2.865123829,2.27036428,131.9342228,76.819,74.454,75.585,NA,7664.03,5.903065468,0,0,0,1,"Selected"
"Bhutan                                              ","BTN","Itsenäinen valtio",38143.99902,"Kyllä","Alempi keskitaso","Kyllä",754394,19.77752777,40.895,17.459,6.243,25.5,46.57249995,NA,NA,NA,2.302999973,3286.574703,7.225739956,NA,3.24491644,93.26155771,71.444,70.822,71.129,NA,1261.448,37.9265032,0,1,0,0,"Selected"
"Botswana                                            ","BWA","Itsenäinen valtio",566730,"Ei","Ylempi keskitaso","Kyllä",2254126,3.977424876,69.446,25.396,5.834,32.5,62.17130491,NA,NA,NA,17.35300064,7893.210108,NA,3.005700726,6.13456821,150.0055899,71.559,65.79,68.812,21.5,6340.243,23.09438618,0,0,1,0,"Selected"
"Central African Republic                            ","CAF","Itsenäinen valtio",622980,"Kyllä","Matala","Kyllä",4666377,7.490412212,41.364,35.66,12.671,85.5,89.10773164,74.24362,50.48541,62.60418,3.664000034,450.900245,NA,1.435967607,6.66541529,27.41449024,54.354,50.152,52.24,3.8,297.027,56.82849738,1,0,0,0,"Selected"
"Canada                                              ","CAN","Itsenäinen valtio",9093510,"Ei","Korkea","Ei",37057765,4.075188239,81.411,10.3,7.5,4.4,49.48187651,NA,NA,NA,5.830999851,45148.55271,NA,1.349529821,10.78964806,89.57894095,84.1,80.288,81.94878049,NA,544894.198,6.428383133,0,0,0,1,"Selected"
"Central Europe and the Baltics                      ","CEB","Valtioiden muodostama alue",1105054.001,NA,NA,NA,102537026,92.78915407,62.33378245,10.27528688,11.95731753,4.376365228,50.64613052,NA,NA,NA,4.312452102,14198.12986,4.09250021,1.524122528,6.578097469,124.3238404,80.71347096,73.3777083800028,76.94746535,NA,656858.709,17.63333403,NA,NA,NA,NA,"Not Selected"
