"V1","V2","V3","V4","V5","V6","V7","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V6_1","V6_2","V6_3","V6_4","filter_."
"Gibraltar                                           ","GIB","Muu alue/territorio",10,NA,"Korkea",NA,33718,3371.8,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,121.7302331,NA,NA,NA,NA,634.391,NA,0,0,0,1,"Not Selected"
"Guinea                                              ","GIN","Itsenäinen valtio",245720,"Kyllä","Matala","Ei",12414318,50.52221227,36.14,36.765,8.715,66.3,87.88586446,NA,NA,NA,4.247000217,856.5652698,2.31765008,2.468083931,4.27482462,96.76749212,61.153,60.04,60.706,1.5,2995.939,26.0624902,1,0,0,0,"Selected"
"Gambia, The                                         ","GMB","Itsenäinen valtio",10120,"Kyllä","Matala","Ei",2280102,225.3065217,61.27,38.967,8.044,37.8,88.17768791,NA,NA,NA,9.027000427,676.6559246,NA,NA,3.34084225,139.5290282,62.84,60.088,61.44,1.9,531.715,33.98263855,1,0,0,0,"Selected"
"Guinea-Bissau                                       ","GNB","Itsenäinen valtio",28120,"Kyllä","Matala","Ei",1874309,66.65394737,43.36,35.697,9.805,55.6,82.35824082,NA,NA,NA,2.437999964,736.7255662,NA,1.424674883,6.84708118,78.9888828,59.62,55.597,57.673,3.5,293.36,29.77470228,1,0,0,0,"Selected"
"Equatorial Guinea                                   ","GNQ","Itsenäinen valtio",28050,"Ei","Ylempi keskitaso","Ei",1308974,46.66573975,72.143,33.725,9.542,64.1,65.49306281,NA,NA,NA,6.382999897,9667.912252,NA,1.100368826,3.01081419,45.16686721,59.259,57.059,58.061,7,5654.514,53.24062104,0,0,1,0,"Selected"
"Greece                                              ","GRC","Itsenäinen valtio",128900,"Ei","Korkea","Ei",10732882,83.26518231,79.058,8.2,11.6,3.7,55.58515986,2.60590000000001,1.49294999999999,2.06404999999999,19.29199982,18930.21859,NA,2.516346981,7.96522522,115.6669118,83.9,78.9,81.28780488,NA,62434.342,16.21826638,0,0,0,1,"Selected"
"Grenada                                             ","GRD","Itsenäinen valtio",340,"Ei","Ylempi keskitaso","Ei",111454,327.8058824,36.272,16.701,9.563,14.7,49.66295152,NA,NA,NA,NA,10152.83281,3.173799992,NA,4.59776449,104.2439033,74.949,70.07,72.388,NA,267.691,22.72268748,0,0,1,0,"Selected"
"Greenland                                           ","GRL","Muu alue/territorio",410450,NA,"Korkea",NA,56023,0.136491656,86.816,15.2,8.9,NA,NA,NA,NA,NA,NA,50321.36875,NA,NA,NA,110.55972,NA,NA,NA,NA,509.713,11.60217946,0,0,0,1,"Not Selected"
"Guatemala                                           ","GTM","Itsenäinen valtio",107160,"Ei","Ylempi keskitaso","Ei",16346950,152.5471258,51.054,24.912,4.762,22.1,64.60219353,NA,NA,NA,2.40199995,4451.45099,2.951819897,0.363718888,5.81384373,118.6670871,76.721,70.83,73.81,0.3,16776.525,24.07064893,0,0,1,0,"Selected"
"Guam                                                ","GUM","Muu alue/territorio",540,NA,"Korkea",NA,165768,306.9777778,94.78,16.71,5.166,NA,52.23855924,NA,NA,NA,4.928999901,35615.80463,NA,NA,NA,NA,83.146,76.39,79.631,NA,NA,11.63440681,0,0,0,1,"Not Selected"
"Guyana                                              ","GUY","Itsenäinen valtio",196850,"Ei","Ylempi keskitaso","Ei",779004,3.957348235,26.606,20.202,7.365,25.9,53.05679773,NA,NA,NA,11.90600014,4586.054572,6.230070114,1.64128697,5.65979004,NA,72.847,66.605,69.624,1.4,2383.55,22.37557463,0,0,1,0,"Selected"
"High income                                         ","HIC","Valtioiden muodostama alue",35377039.02,NA,NA,NA,1230515713,34.78289159,80.85994771,10.55026471,8.893758138,4.4,53.0242885,NA,NA,NA,5.074339469,41971.23735,4.939249992,2.330137566,12.48301691,127.6253795,83.28136748,78.1579474921533,80.58546545,NA,12669524.37,14.68160092,NA,NA,NA,NA,"Not Selected"
"Hong Kong SAR, China                                ","HKG","Muu alue/territorio",1050,NA,"Korkea",NA,7451000,7096.190476,100,7.7,6.3,NA,40.40201217,NA,NA,NA,2.903000116,46165.85651,3.310100079,NA,NA,269.9337198,87.6,81.9,84.6804878,NA,43644.634,NA,0,0,0,1,"Not Selected"
"Honduras                                            ","HND","Itsenäinen valtio",111890,"Ei","Alempi keskitaso","Ei",9587522,85.68703191,57.096,21.859,4.428,15.4,57.31061568,12.73444,12.86236,12.79476,5.647999763,2453.727896,NA,1.733577099,7.00069904,79.15031642,77.201,72.573,74.898,0.3,9812.892,20.62885065,0,1,0,0,"Selected"
"Heavily indebted poor countries (HIPC)              ","HPC","Valtioiden muodostama alue",17378791,NA,NA,NA,780234406,44.89578165,36.00846526,35.74145294,7.879690547,49.76651879,85.40853953,44.51867,30.01242,37.3734,4.42163363,929.4107113,3.787309885,1.362168995,5.175602166,73.26166395,64.48573396,61.0100777296068,62.7486826,2.490300087,204424.249,40.71806235,NA,NA,NA,NA,"Not Selected"
"Croatia                                             ","HRV","Itsenäinen valtio",55960,"Ei","Korkea","Ei",4087843,73.04937455,56.947,8.9,13,4.1,53.74531751,NA,NA,NA,8.43200016,13412.33829,3.917129993,1.67376307,6.77827311,105.5834549,80.9,74.9,77.82682927,0.1,17487.923,17.90177229,0,0,0,1,"Selected"
"Haiti                                               ","HTI","Itsenäinen valtio",27560,"Kyllä","Matala","Ei",11123176,403.5985486,55.278,24.75,8.638,50.7,61.79042719,NA,NA,NA,13.59200001,765.7272943,2.689450026,0.00088103,8.08468342,57.52891844,65.454,61.139,63.29,2,2977.604,15.01982438,1,0,0,0,"Selected"
"Hungary                                             ","HUN","Itsenäinen valtio",90530,"Ei","Korkea","Kyllä",9775564,107.9814868,71.351,9.7,13.5,3.6,50.53376728,NA,NA,NA,3.707999945,14457.60876,4.667099953,1.050167624,6.79227543,103.4451716,79.3,72.6,75.81707317,NA,45536.806,15.92604819,0,0,0,1,"Selected"
"IBRD only                                           ","IBD","Valtioiden muodostama alue",70965258.05,NA,NA,NA,4777244901,67.31807975,55.01505895,16.27296461,7.141211859,19.68060763,47.51439162,14.20992,7.71725000000001,10.94956,5.69908229,6091.709777,4.307660103,1.96079056,5.555242181,109.2291951,75.63892202,70.9307145965298,73.20007252,NA,20735704.23,52.02157462,NA,NA,NA,NA,"Not Selected"
"IDA & IBRD total                                    ","IBT","Valtioiden muodostama alue",93329453.05,NA,NA,NA,6410726416,68.68921017,50.42309727,20.1198122,7.309580549,32.22605819,54.58979931,19.94939,11.67372,15.80618,5.470060977,4885.474243,4.088590145,1.936512069,5.461895655,102.8482632,73.09039404,68.7700021887115,70.86400662,NA,21601125.13,51.17452077,NA,NA,NA,NA,"Not Selected"
"IDA total                                           ","IDA","Valtioiden muodostama alue",22364195,NA,NA,NA,1633481515,73.04003185,36.97875402,31.5275616,7.808874521,51.43211405,75.30661161,40.78219,26.38112,33.64547,4.671868284,1312.725888,4.031330109,1.555767257,4.114782634,81.99215856,65.61089022,62.3149926503673,63.93647608,1.884903189,860923.1861,48.65999304,NA,NA,NA,NA,"Not Selected"
"IDA blend                                           ","IDB","Valtioiden muodostama alue",4369370,NA,NA,NA,549115214,125.6737731,42.22835152,32.16562426,8.710913845,61.48493479,74.36402201,41.71404,24.30879,32.9538,5.358918837,1714.469866,5.324010134,1.803088314,3.65001175,81.30661486,63.06117993,60.8233048585344,61.88904078,1.494991874,465496.314,57.1610483,NA,NA,NA,NA,"Not Selected"
"Indonesia                                           ","IDN","Itsenäinen valtio",1811570,"Ei","Alempi keskitaso","Ei",267663435,147.7521901,55.325,18.422,6.433,21.7,47.94729712,6.00782,2.66866,4.34144000000001,4.511000156,3837.651731,NA,0.865256854,2.86824059,119.3387219,73.515,69.156,71.282,NA,563324.54,16.5026533,0,1,0,0,"Selected"
"IDA only                                            ","IDX","Valtioiden muodostama alue",17994825,NA,NA,NA,1084366301,60.259897,34.31598308,31.20452885,7.352197989,46.19335384,75.78469301,40.31351,27.46971,34.00096,4.368850354,1110.355797,3.80347991,1.328170625,4.527303887,82.38946233,66.88013692,63.0946720247442,64.97303361,2.124392296,393950.1567,44.34853393,NA,NA,NA,NA,"Not Selected"
"Isle of Man                                         ","IMN","Muu alue/territorio",570,NA,"Korkea",NA,84077,147.5035088,52.588,NA,NA,NA,NA,NA,NA,NA,NA,80989.17221,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,"Not Selected"
"India                                               ","IND","Itsenäinen valtio",2973190,"Ei","Alempi keskitaso","Ei",1352617328,454.9380726,34.03,18.083,7.21,31.4,49.77516695,34.20919,17.63329,25.62701,5.329999924,1981.65105,NA,2.509624558,3.53500652,86.94256319,70.425,68,69.165,NA,2407671.526,90.87321047,0,1,0,0,"Selected"
"Not classified                                      ","INX","Valtioiden muodostama alue",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not Selected"
"Ireland                                             ","IRL","Itsenäinen valtio",68890,"Ei","Korkea","Ei",4867316,70.65344753,63.17,12.9,6.3,3,54.49315126,NA,NA,NA,5.739999771,69822.34718,3.506860018,0.307473976,7.15484905,103.1710486,84,80.2,82.15609756,0.2,37711.428,8.208576735,0,0,0,1,"Selected"
"Iran, Islamic Rep.                                  ","IRN","Itsenäinen valtio",1628760,"Ei","Ylempi keskitaso","Ei",81800269,50.22242012,74.898,19.011,4.835,12.9,44.21925804,NA,NA,NA,12.03999996,5520.310789,3.790400028,3.105184169,8.65966415,108.4623938,77.436,75.217,76.271,0.1,661710.15,38.97876028,0,0,1,0,"Selected"
"Iraq                                                ","IRQ","Itsenäinen valtio",434128.0078,"Ei","Ylempi keskitaso","Ei",38433600,88.53057004,70.473,29.693,4.826,23.2,71.55649885,NA,NA,NA,12.86200047,5205.288255,NA,3.862032019,4.12501717,95.04015497,72.318,68.277,70.294,NA,190060.61,61.63623571,0,0,1,0,"Selected"
"Iceland                                             ","ISL","Itsenäinen valtio",100250,"Ei","Korkea","Ei",352721,3.518413965,93.813,11.9,6.5,1.7,52.96921282,NA,NA,NA,2.703999996,71310.93925,7.658219814,0,8.3432579,122.1696222,84.3,80.4,82.66097561,NA,2064.521,6.481147263,0,0,0,1,"Selected"
"Israel                                              ","ISR","Itsenäinen valtio",21640,"Ei","Korkea","Ei",8882800,410.4805915,92.418,21.1,5.1,3.1,66.3955474,NA,NA,NA,3.997999907,40541.86209,6.092619896,5.528506379,7.49766827,127.6618693,84.6,80.7,82.55121951,NA,65166.257,21.38110224,0,0,0,1,"Selected"
"Italy                                               ","ITA","Itsenäinen valtio",294140,"Ei","Korkea","Ei",60421760,205.4183722,70.438,7.6,10.7,2.8,56.44750534,1.02808,0.646550000000005,0.844239999999999,10.60999966,32406.72032,4.044939995,1.364608768,8.6777401,137.466947,85.2,81,82.94634146,0.2,NA,16.75071194,0,0,0,1,"Selected"
"Jamaica                                             ","JAM","Itsenäinen valtio",10830,"Ei","Ylempi keskitaso","Ei",2934855,270.9930748,55.674,16.286,7.558,12.7,48.25083158,NA,NA,NA,9.104000092,5069.183838,5.260620117,0.972264314,6.14377928,101.0265271,75.878,72.708,74.267,1.4,8225.081,13.40415053,0,0,1,0,"Selected"
"Jordan                                              ","JOR","Itsenäinen valtio",88780,"Ei","Ylempi keskitaso","Ei",9956011,112.1424983,90.979,22.622,3.843,14.2,61.52996746,2.16792,1.38579,1.77289,14.95899963,4162.820687,3.284049988,4.841028687,8.11925125,87.62148885,76.052,72.628,74.292,NA,25107.949,33.00608118,0,0,1,0,"Selected"
"Japan                                               ","JPN","Itsenäinen valtio",364560,"Ei","Korkea","Ei",126529100,347.0734584,91.616,7.6,10.8,1.9,67.42908022,NA,NA,NA,2.400000095,38386.51115,3.182179928,0.93330611,10.79634285,141.4069924,87.26,81.09,84.0997561,NA,1135886.253,11.70477819,0,0,0,1,"Selected"
"Kazakhstan                                          ","KAZ","Itsenäinen valtio",2699700,"Ei","Ylempi keskitaso","Kyllä",18276498.5,6.769825721,57.428,21.64,7.15,9.3,55.89047057,0.261009999999999,0.170320000000004,0.218369999999993,4.824999809,9247.581331,2.750819921,0.870507374,3.12588406,142.2824428,76.92,68.72,72.95,0.3,247207.138,13.82428836,0,0,1,0,"Selected"
"Kenya                                               ","KEN","Itsenäinen valtio",569140,"Ei","Alempi keskitaso","Ei",51393010,90.29941666,27.03,29.296,5.582,33.9,72.77528872,21.81107,15.01117,18.46503,2.63499999,1572.335496,5.366680145,1.281029389,4.8369956,96.32021675,68.244,63.539,65.909,4.8,17909.628,28.57837427,0,1,0,0,"Selected"
"Kyrgyz Republic                                     ","KGZ","Itsenäinen valtio",191800,"Ei","Alempi keskitaso","Kyllä",6322800,32.96558916,36.351,24.8,5.4,18,58.34096097,0.500280000000004,0.322990000000004,0.414000000000001,5.960000038,1242.769643,6.026189804,1.604803258,6.18586302,138.5660601,75.4,67.2,71.2,0.2,9787.223,22.73776806,0,1,0,0,"Selected"
"Cambodia                                            ","KHM","Itsenäinen valtio",176520,"Kyllä","Alempi keskitaso","Ei",16249798,92.05641287,23.388,22.889,6.017,24.8,55.69071487,NA,NA,NA,0.65200001,1385.25998,NA,2.096461061,5.928473,119.4915172,71.318,67.062,69.289,0.6,9919.235,25.61429187,0,1,0,0,"Selected"
"Kiribati                                            ","KIR","Itsenäinen valtio",810,"Kyllä","Alempi keskitaso","Ei",115847,143.0209877,54.057,28.294,6.396,42.3,65.26905958,NA,NA,NA,NA,1640.500104,NA,NA,10.77510738,46.04176198,71.88,63.74,67.851,NA,66.006,10.64085586,0,1,0,0,"Selected"
"St. Kitts and Nevis                                 ","KNA","Itsenäinen valtio",260,"Ei","Korkea","Ei",52441,201.6961538,30.776,NA,NA,13.5,NA,NA,NA,NA,NA,19155.2894,NA,NA,5.69199848,NA,NA,NA,NA,NA,238.355,NA,0,0,0,1,"Selected"
"Korea, Rep.                                         ","KOR","Itsenäinen valtio",97489.00391,"Ei","Korkea","Ei",51606633,529.3585013,81.459,7,5.6,2.8,37.7256402,NA,NA,NA,3.84800005,31616.8434,NA,2.421489001,7.10694933,129.6727883,85.7,79.7,82.62682927,NA,620302.386,25.03942539,0,0,0,1,"Selected"
"Kuwait                                              ","KWT","Itsenäinen valtio",17820,"Ei","Korkea","Ei",4137312,232.1723906,100,14.651,2.601,7.1,31.73383938,5.09484,3.33354,3.94353,2.075999975,29759.43649,NA,5.634585046,5.29526615,171.6053322,76.364,74.584,75.311,NA,98733.975,60.74515954,0,0,0,1,"Selected"
"Latin America & Caribbean (excluding high income)   ","LAC","Valtioiden muodostama alue",19018930,NA,NA,NA,608113077,31.97409513,80.44510109,16.7897646,6.23784286,14.93773094,49.47062921,7.1698,6.18223,6.68834,8.008697299,8990.524504,4.522819996,1.21819797,8.162670258,103.0139576,78.29907451,71.8986601207101,75.08520392,0.514875651,1657513.336,16.68087259,NA,NA,NA,NA,"Not Selected"
"Lao PDR                                             ","LAO","Itsenäinen valtio",230800,"Kyllä","Alempi keskitaso","Kyllä",7061507,30.59578423,35.004,23.955,6.508,38.9,57.92566196,NA,NA,NA,0.640999973,2423.846203,NA,NA,2.52514863,51.86337704,69.074,65.508,67.277,0.3,17762.948,25.10953834,0,1,0,0,"Selected"
"Lebanon                                             ","LBN","Itsenäinen valtio",10230,"Ei","Ylempi keskitaso","Ei",6848925,669.4941349,88.593,17.67,4.263,6.6,49.47287809,6.69499,3.14534,4.93056,6.143000126,7801.178658,NA,4.505139801,8.44765568,64.49805872,80.786,77.031,78.833,0.1,24796.254,30.62111051,0,0,1,0,"Selected"
"Liberia                                             ","LBR","Itsenäinen valtio",96320,"Kyllä","Matala","Ei",4818977,50.03090739,51.151,33.426,7.729,64.3,79.7863446,NA,NA,NA,2.931999922,698.7017644,2.76128006,0.405984613,8.15604591,NA,64.68,61.911,63.295,1.6,1386.126,17.98411246,1,0,0,0,"Selected"
"Libya                                               ","LBY","Itsenäinen valtio",1759540,"Ei","Ylempi keskitaso","Ei",6678567,3.795632381,80.102,19.38,5.099,10.6,48.61330481,NA,NA,NA,18.46800041,5756.69845,NA,NA,NA,NA,75.619,69.672,72.52,0.2,50564.263,54.25468179,0,0,1,0,"Selected"
"St. Lucia                                           ","LCA","Itsenäinen valtio",610,"Ei","Ylempi keskitaso","Ei",181889,298.1786885,18.678,12.143,7.16,19.3,39.53893364,NA,NA,NA,20.87899971,11047.44499,NA,NA,4.7146244,101.6795958,77.283,74.581,75.907,NA,414.371,22.40081712,0,0,1,0,"Selected"
"Latin America & Caribbean                           ","LCN","Valtioiden muodostama alue",20038832.03,NA,NA,NA,640454810,31.96068558,80.62479183,16.6051182,6.26532205,14.7,49.43234976,6.55216,5.69148,6.13294,7.954340224,9432.971185,4.535510063,1.247645839,8.198819569,104.5325634,78.47516173,72.1109871470465,75.28213592,0.515297725,1836828.167,16.70843238,NA,NA,NA,NA,"Not Selected"
"Least developed countries: UN classification        ","LDC","Valtioiden muodostama alue",17762825,NA,NA,NA,1009662578,56.8413289,33.56806008,31.79174291,7.419932039,47.32907897,77.36223407,41.90213,28.20148,35.18307,4.355617159,1041.228276,3.909319997,1.544406659,4.211348823,76.60298865,66.58453546,62.8703090384497,64.70773022,2.238636105,329491.0024,45.27821984,NA,NA,NA,NA,"Not Selected"
"Low income                                          ","LIC","Valtioiden muodostama alue",12509460,NA,NA,NA,651327587,52.0668028,32.89441788,35.04406504,7.934634679,50.5,84.16567569,44.38139,28.8886,36.81603,4.881436116,779.6083179,3.449069977,1.466017225,5.927739741,60.76760484,65.04955419,61.4891894173017,63.13889301,1.97757313,168202.9737,42.85612091,NA,NA,NA,NA,"Not Selected"
"Liechtenstein                                       ","LIE","Itsenäinen valtio",160,"Ei","Korkea","Kyllä",37910,236.9375,14.338,8.9,6.6,NA,NA,NA,NA,NA,NA,173356.0513,NA,NA,NA,124.695331,86,80.6,83.74634146,NA,51.338,NA,0,0,0,1,"Selected"
"Sri Lanka                                           ","LKA","Itsenäinen valtio",62710,"Ei","Alempi keskitaso","Ei",21670000,345.558922,18.476,16.106,6.554,6.7,53.06955312,9.20440000000001,7.22707,8.29018000000001,4.118999958,4077.043721,2.799249887,2.135772047,3.80975389,142.6507235,79.979,73.238,76.648,0.1,23362.457,11.09961724,0,1,0,0,"Selected"
"Lower middle income                                 ","LMC","Valtioiden muodostama alue",21916545,NA,NA,NA,2872397765,131.0607016,39.21004895,22.44976015,7.325385917,38.9,57.66567031,29.0651,16.61052,22.75662,5.132227136,2034.893581,4.430510044,2.240280479,4.058130424,94.32613986,69.93637669,66.6628775648559,68.19326853,NA,4229048.424,67.80484524,NA,NA,NA,NA,"Not Selected"
"Low & middle income                                 ","LMY","Valtioiden muodostama alue",91966181.01,NA,NA,NA,6361417194,69.17126626,50.31928833,20.20876413,7.277581747,32.33744587,54.61626779,20.18049,11.78985,15.97734,5.462886915,4749.356416,4.073729992,1.948364476,5.415536526,102.3335807,72.99584749,68.71926037079,70.78783627,NA,21122439.33,51.49789895,NA,NA,NA,NA,"Not Selected"
"Lesotho                                             ","LSO","Itsenäinen valtio",30360,"Kyllä","Alempi keskitaso","Kyllä",2108132,69.43781291,28.153,27.17,14.656,71.7,60.30117701,NA,NA,NA,23.97100067,1150.079173,7.963319778,1.953055612,8.94750309,NA,56.194,49.837,52.947,23.8,2511.895,28.02865352,0,1,0,0,"Selected"
"Late-demographic dividend                           ","LTE","Valtioiden muodostama alue",44519022.03,NA,NA,NA,2287833784,51.39002788,62.45228866,13.06689805,7.372512265,9.369198863,42.44751501,5.15721000000001,2.54062,3.8485,5.059451446,9031.340769,4.535510063,2.051417523,5.717367916,122.2099281,78.8644387,73.348511356478,76.01415346,NA,14680565.35,40.00849475,NA,NA,NA,NA,"Not Selected"
"Lithuania                                           ","LTU","Itsenäinen valtio",62642.00195,"Ei","Korkea","Ei",2801543,44.72307577,67.679,10.1,14.2,3.6,52.87589335,NA,NA,NA,6.146999836,16882.63947,3.812829971,1.715538627,6.47619867,163.8703457,80.5,69.5,75.4804878,0.2,12962.845,11.85328236,0,0,0,1,"Selected"
"Luxembourg                                          ","LUX","Itsenäinen valtio",2430,"Ei","Korkea","Kyllä",607950,250.1851852,90.981,10.4,7.1,2.3,42.98357432,NA,NA,NA,5.585000038,107627.151,3.569590092,0.576459302,5.25779152,132.1649331,84.4,80.1,82.09512195,NA,8987.817,10.3646374,0,0,0,1,"Selected"
"Latvia                                              ","LVA","Itsenäinen valtio",62180,"Ei","Korkea","Ei",1927174,30.99347057,68.142,10.7,14.8,3.6,56.34617631,0.093599999999995,0.131630000000001,0.110690000000005,7.412000179,15586.58189,4.397119999,1.590645172,6.00696659,107.3489247,79.7,69.9,74.62926829,0.4,7003.97,13.42645752,0,0,0,1,"Selected"
"Macao SAR, China                                    ","MAC","Muu alue/territorio",30.39999962,NA,"Korkea",NA,631636,20777.50026,100,11.2,3.866,NA,31.81876996,NA,NA,NA,1.965999961,81516.67492,2.689889908,NA,NA,345.3245224,86.92,81.013,83.989,NA,2068.188,NA,0,0,0,1,"Not Selected"
"St. Martin (French part)                            ","MAF","Muu alue/territorio",NA,NA,"Korkea",NA,37264,NA,NA,14.9,4.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83,76.6,79.72195122,NA,NA,NA,0,0,0,1,"Not Selected"
"Morocco                                             ","MAR","Itsenäinen valtio",446300,"Ei","Alempi keskitaso","Ei",36029138,80.72851893,62.453,19.399,5.072,19.9,52.02023609,35.40862,16.69865,26.24999,9.078000069,3036.325255,NA,3.193071841,5.23623848,124.1715549,77.438,74.948,76.218,0.1,61275.57,32.59354146,0,1,0,0,"Selected"
"Monaco                                              ","MCO","Itsenäinen valtio",NA,"Ei","Korkea","Ei",38682,NA,100,NA,NA,2.7,NA,NA,NA,NA,NA,167517.0597,1.457929969,NA,1.64266789,84.50700584,NA,NA,NA,NA,NA,NA,0,0,0,1,"Selected"
"Moldova                                             ","MDA","Itsenäinen valtio",32890,"Ei","Alempi keskitaso","Kyllä",2706049,94.26443028,42.629,10.274,11.528,12.9,37.60772339,NA,NA,NA,2.977999926,3509.69345,5.618440151,0.323118819,7.01328516,89.75768174,75.993,67.439,71.717,0.7,5115.465,16.25103271,0,1,0,0,"Selected"
"Madagascar                                          ","MDG","Itsenäinen valtio",581800,"Kyllä","Matala","Ei",26262368,45.13985562,37.191,32.897,6.185,38.5,77.47762031,27.61591,22.72486,25.19568,1.68900001,515.2927249,NA,0.58002235,5.5050993,40.57034123,67.909,64.728,66.311,0.2,3905.355,22.54228288,1,0,0,0,"Selected"
"Maldives                                            ","MDV","Itsenäinen valtio",300,"Ei","Ylempi keskitaso","Ei",515696,1718.986667,39.808,14.891,2.883,7.6,31.3219386,NA,NA,NA,5.848999977,9540.634349,NA,NA,9.02997589,166.3642921,80.191,76.931,78.325,NA,1444.798,7.795820799,0,0,1,0,"Selected"
"Middle East & North Africa                          ","MEA","Valtioiden muodostama alue",11223466.01,NA,NA,NA,448912962,39.99771209,65.37198596,23.05698266,4.924036049,18.9,55.12839921,27.66391,14.9327,21.03721,10.1371864,7411.423129,NA,5.787235298,6.229540117,106.0204133,75.73199805,72.2456917208583,73.89990828,0.104846544,2608736.803,55.66932622,NA,NA,NA,NA,"Not Selected"
"Mexico                                              ","MEX","Itsenäinen valtio",1943950,"Ei","Ylempi keskitaso","Ei",126190788,64.91462641,80.156,17.918,5.933,13,51.0129948,5.39194999999999,3.7671,4.62009,3.282999992,9278.418168,4.522819996,0.439493736,5.51889515,95.2316028,77.827,72.046,74.947,NA,486405.548,20.92111579,0,0,1,0,"Selected"
"Marshall Islands                                    ","MHL","Itsenäinen valtio",180,"Ei","Ylempi keskitaso","Ei",58413,324.5166667,77.031,NA,NA,27.9,NA,NA,NA,NA,NA,3666.695374,NA,NA,16.40007591,NA,NA,NA,NA,NA,143.013,10.24133222,0,0,1,0,"Selected"
"Middle income                                       ","MIC","Valtioiden muodostama alue",79456721.01,NA,NA,NA,5710089607,71.8641486,52.30750088,18.54170127,7.203747819,28.47377305,51.24450491,17.64496,10.09226,13.85153,5.520633379,5193.1639,4.394094944,1.954251028,5.409153311,105.7975427,73.90364851,69.5866391985503,71.64736685,NA,20947563.41,52.46927296,NA,NA,NA,NA,"Not Selected"
"North Macedonia                                     ","MKD","Itsenäinen valtio",25220,"Ei","Ylempi keskitaso","Kyllä",2082958,82.59151467,57.963,10.953,9.965,8.7,43.24013941,NA,NA,NA,20.73600006,5430.87421,NA,0.897226753,6.5939827,94.53430868,77.639,73.584,75.589,NA,7051.641,29.72694451,0,0,1,0,"Selected"
"Mali                                                ","MLI","Itsenäinen valtio",1220190,"Kyllä","Matala","Kyllä",19077690,15.63501586,42.356,42.078,9.984,63.5,100.2030712,74.26484,53.81586,64.52623,7.110000134,830.5574088,3.787309885,3.027144587,4.10388279,115.0846727,59.185,57.718,58.452,1.3,3179.289,38.52660616,1,0,0,0,"Selected"
"Malta                                               ","MLT","Itsenäinen valtio",320,"Ei","Korkea","Ei",484630,1514.46875,94.612,9.2,7.6,6.2,52.96650159,4.01128,6.99003,5.49681,3.71600008,27239.0701,4.824379921,0.506519247,9.19666958,140.2039395,84.6,80.6,82.34634146,NA,1342.122,13.90954337,0,0,0,1,"Selected"
"Myanmar                                             ","MMR","Itsenäinen valtio",653080,"Kyllä","Alempi keskitaso","Ei",53708395,82.23861548,30.579,17.703,8.206,38.2,47.39629602,NA,NA,NA,1.493999958,1291.542413,2.087680101,NA,5.09039927,113.8444919,69.603,63.419,66.558,0.8,25280.298,35.55745292,0,1,0,0,"Selected"
"Middle East & North Africa (excluding high income)  ","MNA","Valtioiden muodostama alue",8641088.008,NA,NA,NA,382896715,44.31116946,61.59054752,24.11568729,5.227463925,20.44845942,58.07816132,30.58849,17.50414,24.0404,11.90052671,3793.932018,NA,3.381174989,6.750338207,99.8617863,75.33515214,71.560181502266,73.39427025,0.104935757,1475311.107,53.85776254,NA,NA,NA,NA,"Not Selected"
"Montenegro                                          ","MNE","Itsenäinen valtio",13450,"Ei","Ylempi keskitaso","Ei",622227,46.26223048,66.813,11.775,10.592,2.5,49.66590017,1.72865,0.549530000000004,1.15282000000001,15.17500019,7803.411137,NA,1.362776386,NA,180.6938097,79.105,74.205,76.667,0.1,2016.85,20.78181355,0,0,1,0,"Selected"
"Mongolia                                            ","MNG","Itsenäinen valtio",1553560,"Ei","Alempi keskitaso","Kyllä",3170208,2.040608667,68.445,24.833,6.299,15.1,52.65572144,1.35111000000001,1.81399,1.57688,6.254000187,3669.41754,4.088590145,0.765300911,4.00506115,133.1783386,73.779,65.465,69.509,0.1,25368.306,40.11284905,0,1,0,0,"Selected"
"Northern Mariana Islands                            ","MNP","Muu alue/territorio",460,NA,NA,NA,56882,123.6565217,91.618,NA,NA,NA,NA,NA,NA,NA,NA,28305.22259,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.892981129,NA,NA,NA,NA,"Not Selected"
"Mozambique                                          ","MOZ","Itsenäinen valtio",786380,"Kyllä","Matala","Ei",29495962,37.50853531,35.988,37.876,8.964,57.9,90.69981608,NA,NA,NA,3.236999989,461.4150941,5.505559921,1.032253172,8.14048672,47.71577872,62.091,56.293,59.309,12.5,7942.722,21.29869546,1,0,0,0,"Selected"
"Mauritania                                          ","MRT","Itsenäinen valtio",1030700,"Kyllä","Alempi keskitaso","Ei",4403319,4.272163578,53.672,34.132,7.339,52.6,76.13166321,NA,NA,NA,9.463999748,1578.114174,NA,2.933975633,4.50495195,103.7060504,66.061,62.831,64.464,0.2,2739.249,47.42299178,0,1,0,0,"Selected"
