"countries","gdp.per.capita","healthcare.expense","life.expectancy","infant.mortality","mortality"
"Korea, Rep.                                         ",31616.8434,7.10694933,82.62682927,2.8,5.6
"Kuwait                                              ",29759.43649,5.29526615,75.311,7.1,2.601
"Lao PDR                                             ",2423.846203,2.52514863,67.277,38.9,6.508
"Lebanon                                             ",7801.178658,8.44765568,78.833,6.6,4.263
"Liberia                                             ",698.7017644,8.15604591,63.295,64.3,7.729
"St. Lucia                                           ",11047.44499,4.7146244,75.907,19.3,7.16
"Sri Lanka                                           ",4077.043721,3.80975389,76.648,6.7,6.554
"Lesotho                                             ",1150.079173,8.94750309,52.947,71.7,14.656
"Lithuania                                           ",16882.63947,6.47619867,75.4804878,3.6,14.2
"Luxembourg                                          ",107627.151,5.25779152,82.09512195,2.3,7.1
"Latvia                                              ",15586.58189,6.00696659,74.62926829,3.6,14.8
"Morocco                                             ",3036.325255,5.23623848,76.218,19.9,5.072
"Moldova                                             ",3509.69345,7.01328516,71.717,12.9,11.528
"Madagascar                                          ",515.2927249,5.5050993,66.311,38.5,6.185
"Maldives                                            ",9540.634349,9.02997589,78.325,7.6,2.883
"Mexico                                              ",9278.418168,5.51889515,74.947,13,5.933
"North Macedonia                                     ",5430.87421,6.5939827,75.589,8.7,9.965
"Mali                                                ",830.5574088,4.10388279,58.452,63.5,9.984
"Malta                                               ",27239.0701,9.19666958,82.34634146,6.2,7.6
"Myanmar                                             ",1291.542413,5.09039927,66.558,38.2,8.206
"Mongolia                                            ",3669.41754,4.00506115,69.509,15.1,6.299
"Mozambique                                          ",461.4150941,8.14048672,59.309,57.9,8.964
"Mauritania                                          ",1578.114174,4.50495195,64.464,52.6,7.339
"Mauritius                                           ",10484.90836,5.71669579,74.51463415,13.2,8
"Malawi                                              ",356.7175732,9.64243031,63.279,33.5,6.811
"Malaysia                                            ",10254.23402,3.71246052,75.828,7.1,5.014
"Namibia                                             ",5303.309133,8.28922272,63.021,31.8,8.23
"Niger                                               ",516.8882472,7.66223145,61.599,49.1,8.529
"Nigeria                                             ",1968.559588,3.75553846,53.95,77.3,12.114
"Nicaragua                                           ",2159.163079,8.31693268,74.068,15.4,5.049
"Netherlands                                         ",48675.22234,10.05979824,81.76097561,3.4,8.8
"Norway                                              ",75496.75406,10.31589031,82.6097561,2.1,7.7
